,,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Household & Furniture,In Use,0.0,74.42677515,144.387943791,210.447182459,273.372101117,332.674536705,388.476832717,442.096358437,494.514232185,545.087917399,591.915671905,633.633701594,671.624282807,706.829529908,741.589098627,776.44961488,812.36885345,853.527080937,893.929442776,933.778078253,973.27521844
Household & Furniture,End of Life,0.0,0.0,0.0196695267135,0.303630961923,1.60354300033,5.30250318101,13.32791008,27.7249040835,49.7489156744,78.6345375372,110.904031209,141.460486273,166.32324619,184.574782896,197.805738849,208.357999415,218.048871687,227.709300669,237.402002453,246.96285388,256.399010697
Household & Furniture,Stock,744.2677515,1443.87943791,2104.47182459,2733.72101117,3326.74536705,3884.76832717,4420.96358437,4945.14232185,5450.87917399,5919.15671905,6336.33701594,6716.24282807,7068.29529908,7415.89098627,7764.4961488,8123.6885345,8535.27080937,8939.29442776,9337.78078253,9732.7521844,10126.0616589
Automotive,In Use,0.0,31.89718935,61.880547339,90.1922655651,117.169533717,142.634047305,166.709108757,190.081888718,213.341184239,236.385498613,258.497386648,279.020157812,298.27698955,316.303069029,333.797847851,350.862266772,367.938216968,386.940544639,405.433814791,423.599541678,441.572973041
Automotive,End of Life,0.0,0.0,0.00227040029198,0.0350529120364,0.18533040765,0.615338176282,1.56309163537,3.32515606751,6.21567201669,10.4956210378,16.2749017138,23.411524809,31.4622156588,39.7491427513,47.557962941,54.3782312703,60.0385063215,64.6667538413,68.5451163321,71.9714306929,75.179539593
Automotive,Stock,318.9718935,618.80547339,901.922655651,1171.69533717,1426.34047305,1667.09108757,1900.81888718,2133.41184239,2363.85498613,2584.97386648,2790.20157812,2982.7698955,3163.03069029,3337.97847851,3508.62266772,3679.38216968,3869.40544639,4054.33814791,4235.99541678,4415.72973041,4594.54166218
Medical,In Use,0.0,69.110576925,134.074519235,195.416826789,253.871430552,309.064649161,361.292930555,412.097547135,462.832954033,513.381037188,562.298575201,608.256720825,651.995084145,693.539143692,734.251502403,774.126070679,813.890623922,857.529022809,899.698535342,940.815105732,981.247009948
Medical,End of Life,0.0,0.0,0.00240522324409,0.0371355754436,0.196383358218,0.652536904649,1.66090363981,3.54838388755,6.68621441974,11.4435826754,18.1199685642,26.8596459741,37.5643203885,49.8372691938,63.0028148408,76.228396887,88.7253872105,99.9458518626,109.680860755,118.027305109,125.269797355
Medical,Stock,691.10576925,1340.74519234,1954.16826789,2538.71430552,3090.64649161,3612.92930555,4120.97547135,4628.32954033,5133.81037188,5622.98575201,6082.56720825,6519.95084145,6935.39143692,7342.51502403,7741.26070679,8138.90623922,8575.29022809,8996.98535342,9408.15105732,9812.47009948,10213.0095884
Other Industries,In Use,0.0,53.16198225,103.134245565,150.320777103,195.288021497,237.75563389,277.968150173,317.140949937,356.361735564,395.602132063,433.828528619,470.102362529,505.071038641,538.810575169,572.384940519,605.750455009,639.370617709,676.169937753,711.882230485,746.685807793,780.760722072
Other Industries,End of Life,0.0,0.0,0.00043905471107,0.00677895832539,0.0358545754406,0.119203279959,0.303852180589,0.651193794095,1.23429944561,2.13390237886,3.43313227861,5.21087635056,7.53359608414,10.4457713238,13.9599145892,18.0479179873,22.6361818498,27.6071349299,32.8089964296,38.0738594238,43.2409312847
Other Industries,Stock,531.6198225,1031.34245565,1503.20777103,1952.88021497,2377.5563389,2779.68150173,3171.40949937,3563.61735564,3956.02132063,4338.28528619,4701.02362529,5050.71038641,5388.10575169,5723.84940519,6057.50455009,6393.70617709,6761.69937753,7118.82230485,7466.85807793,7807.60722072,8142.87964136
Packaging,In Use,0.0,31.89718935,61.880547339,87.6113393467,94.38612375,100.69987462,106.714634357,112.987840344,120.259974472,128.384143095,136.292146597,143.068054367,149.170525025,155.049898449,161.641755178,168.710728672,176.459002858,186.284204112,195.605259851,204.215325005,211.42774551
Packaging,End of Life,0.0,0.0,25.8115325836,204.640816621,214.476367548,223.15252801,232.553305778,240.290818377,248.49833929,260.535821887,275.948775702,290.907239056,302.035740732,310.031534265,319.668509877,329.806529469,343.288984604,357.045238495,373.930288616,398.965755945,411.062595636
Packaging,Stock,318.9718935,618.80547339,876.113393467,943.8612375,1006.9987462,1067.14634357,1129.87840344,1202.59974472,1283.84143095,1362.92146597,1430.68054367,1491.70525025,1550.49898449,1616.41755178,1687.10728672,1764.59002858,1862.84204112,1956.05259851,2042.15325005,2114.2774551,2187.35155835
Electronics,In Use,0.0,31.89718935,61.880547339,90.1655227105,116.735463935,140.179215674,158.722711353,172.896524316,185.740113175,198.849491325,211.920714521,224.363818324,236.458015536,248.103340532,259.870367841,271.80102192,284.301748976,299.185976629,313.842082552,328.263344766,342.415485641
Electronics,End of Life,0.0,0.0,0.26969894632,4.13506504657,20.8270186683,58.3858275446,101.539159011,124.667587098,133.166105327,138.438276711,143.648247449,149.694209552,157.088734505,165.226386381,172.82309137,179.191707518,184.85597449,190.792964148,197.5814953,205.520532492,214.81430003
Electronics,Stock,318.9718935,618.80547339,901.655227105,1167.35463935,1401.79215674,1587.22711353,1728.96524316,1857.40113175,1988.49491325,2119.20714521,2243.63818324,2364.58015536,2481.03340532,2598.70367841,2718.0102192,2843.01748976,2991.85976629,3138.42082552,3282.63344766,3424.15485641,3562.48951514
Construction & Building,In Use,0.0,239.228920125,464.104105043,676.443693725,878.799311799,1069.91931422,1250.927162,1427.33388273,1604.09928654,1781.18706415,1954.0643797,2118.65150922,2278.02651993,2432.70948611,2587.66828786,2742.87383439,2900.54976877,3073.94720543,3243.89699636,3411.15892229,3576.42917987
Construction & Building,End of Life,0.0,0.0,8.13064444878e-06,0.000125537146752,0.000664010068521,0.00220797252248,0.00563072941334,0.0120791242282,0.0229373684366,0.0397803719932,0.0643250667224,0.0983836509781,0.143818348938,0.202496388327,0.27624682616,0.366821807786,0.475864586706,0.604885272581,0.755244360722,0.928146908233,1.12464187993
Construction & Building,Stock,2392.28920125,4641.04105042,6764.43693725,8787.99311799,10699.1931422,12509.27162,14273.3388273,16040.9928654,17811.8706415,19540.643797,21186.5150922,22780.2651993,24327.0948611,25876.6828786,27428.7383439,29005.4976877,30739.4720543,32438.9699636,34111.5892229,35764.2917987,37403.47131
